,location,date,flood_id,flood_day,72hr_precip
0,Ha Tinh,2010-09-29,0,-2.0,"[0.0, 0.3, 0.0, 0.2, 0.8, 1.7, 1.0, 0.3, 0.2, 0.5, 0.2, 0.1, 0.1, 0.1, 0.2, 0.8, 0.2, 0.0, 0.7, 0.2, 0.6, 0.0, 0.2, 0.3, 0.7, 1.1, 0.4, 0.0, 0.6, 0.2, 0.3, 1.1, 1.2, 0.8, 1.2, 0.7, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.3, 0.3, 0.8, 1.1, 0.9, 0.8, 0.2, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.4, 0.1, 0.0, 0.1, 0.1, 0.0, 0.1, 0.1, 0.2, 1.4, 2.2, 1.2]"
1,Ha Tinh,2010-09-30,0,-1.0,"[0.7, 1.1, 0.4, 0.0, 0.6, 0.2, 0.3, 1.1, 1.2, 0.8, 1.2, 0.7, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.3, 0.3, 0.8, 1.1, 0.9, 0.8, 0.2, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.4, 0.1, 0.0, 0.1, 0.1, 0.0, 0.1, 0.1, 0.2, 1.4, 2.2, 1.2, 0.3, 0.6, 0.3, 0.1, 0.3, 0.5, 1.0, 1.3, 0.9, 0.4, 0.3, 0.4, 1.1, 0.5, 0.6, 0.5, 0.4, 0.4, 0.3, 0.3, 0.4, 0.3, 0.7, 1.2]"
2,Ha Tinh,2010-10-01,0,0.0,"[0.8, 1.1, 0.9, 0.8, 0.2, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.4, 0.1, 0.0, 0.1, 0.1, 0.0, 0.1, 0.1, 0.2, 1.4, 2.2, 1.2, 0.3, 0.6, 0.3, 0.1, 0.3, 0.5, 1.0, 1.3, 0.9, 0.4, 0.3, 0.4, 1.1, 0.5, 0.6, 0.5, 0.4, 0.4, 0.3, 0.3, 0.4, 0.3, 0.7, 1.2, 0.9, 0.4, 0.7, 0.8, 0.5, 0.4, 0.4, 0.0, 0.0, 0.7, 0.9, 1.7, 0.4, 0.4, 0.9, 1.0, 0.9, 2.5, 1.5, 1.7, 1.1, 0.5, 1.0, 1.7]"
3,Ha Tinh,2010-10-02,0,1.0,"[0.3, 0.6, 0.3, 0.1, 0.3, 0.5, 1.0, 1.3, 0.9, 0.4, 0.3, 0.4, 1.1, 0.5, 0.6, 0.5, 0.4, 0.4, 0.3, 0.3, 0.4, 0.3, 0.7, 1.2, 0.9, 0.4, 0.7, 0.8, 0.5, 0.4, 0.4, 0.0, 0.0, 0.7, 0.9, 1.7, 0.4, 0.4, 0.9, 1.0, 0.9, 2.5, 1.5, 1.7, 1.1, 0.5, 1.0, 1.7, 0.8, 0.6, 1.2, 0.5, 0.6, 0.9, 0.7, 0.8, 1.7, 3.35, 2.4, 3.78, 4.79, 1.8, 3.17, 3.96, 2.5, 6.18, 7.73, 5.04, 4.6, 6.01, 3.6, 10.45]"
4,Ha Tinh,2010-10-03,0,2.0,"[0.9, 0.4, 0.7, 0.8, 0.5, 0.4, 0.4, 0.0, 0.0, 0.7, 0.9, 1.7, 0.4, 0.4, 0.9, 1.0, 0.9, 2.5, 1.5, 1.7, 1.1, 0.5, 1.0, 1.7, 0.8, 0.6, 1.2, 0.5, 0.6, 0.9, 0.7, 0.8, 1.7, 3.35, 2.4, 3.78, 4.79, 1.8, 3.17, 3.96, 2.5, 6.18, 7.73, 5.04, 4.6, 6.01, 3.6, 10.45, 13.53, 7.32, 6.2, 7.2, 6.8, 8.15, 9.97, 6.4, 8.6, 9.7, 5.75, 13.3, 17.4, 9.9, 5.2, 7.4, 7.3, 6.8, 7.04, 5.6, 6.1, 6.1, 5.8, 8.8]"
5,Ha Tinh,2010-10-04,0,3.0,"[0.8, 0.6, 1.2, 0.5, 0.6, 0.9, 0.7, 0.8, 1.7, 3.35, 2.4, 3.78, 4.79, 1.8, 3.17, 3.96, 2.5, 6.18, 7.73, 5.04, 4.6, 6.01, 3.6, 10.45, 13.53, 7.32, 6.2, 7.2, 6.8, 8.15, 9.97, 6.4, 8.6, 9.7, 5.75, 13.3, 17.4, 9.9, 5.2, 7.4, 7.3, 6.8, 7.04, 5.6, 6.1, 6.1, 5.8, 8.8, 10.7, 7.0, 3.8, 4.5, 5.1, 7.43, 9.96, 9.2, 9.0, 9.04, 7.5, 11.18, 14.03, 10.2, 11.5, 12.8, 11.9, 14.1, 17.02, 14.9, 12.7, 12.21, 9.0, 15.12]"
6,Ha Tinh,2010-10-05,0,4.0,"[13.53, 7.32, 6.2, 7.2, 6.8, 8.15, 9.97, 6.4, 8.6, 9.7, 5.75, 13.3, 17.4, 9.9, 5.2, 7.4, 7.3, 6.8, 7.04, 5.6, 6.1, 6.1, 5.8, 8.8, 10.7, 7.0, 3.8, 4.5, 5.1, 7.43, 9.96, 9.2, 9.0, 9.04, 7.5, 11.18, 14.03, 10.2, 11.5, 12.8, 11.9, 14.1, 17.02, 14.9, 12.7, 12.21, 9.0, 15.12, 18.26, 11.08, 11.8, 12.22, 10.5, 12.55, 14.67, 8.93, 6.3, 5.5, 5.4, 4.5, 3.0, 1.7, 0.8, 1.0, 1.4, 3.7, 5.2, 6.4, 5.0, 3.0, 2.2, 1.8]"
7,Ha Tinh,2010-10-06,0,5.0,"[10.7, 7.0, 3.8, 4.5, 5.1, 7.43, 9.96, 9.2, 9.0, 9.04, 7.5, 11.18, 14.03, 10.2, 11.5, 12.8, 11.9, 14.1, 17.02, 14.9, 12.7, 12.21, 9.0, 15.12, 18.26, 11.08, 11.8, 12.22, 10.5, 12.55, 14.67, 8.93, 6.3, 5.5, 5.4, 4.5, 3.0, 1.7, 0.8, 1.0, 1.4, 3.7, 5.2, 6.4, 5.0, 3.0, 2.2, 1.8, 0.9, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 1.0, 1.1, 1.1, 1.1, 0.7, 0.1, 0.0, 0.0, 0.0]"
8,Quang Tri,2010-09-29,1,-2.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.6, 0.0, 0.0, 0.2, 0.2, 0.4, 0.5, 0.0, 1.6, 2.0, 1.3, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.1, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.2, 0.0, 0.0, 0.3, 0.3, 0.2, 0.2, 0.9, 2.6, 1.5, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.4, 0.1, 0.2, 1.8, 0.2, 0.4, 0.3, 0.3, 0.7, 0.6, 0.8, 1.7]"
9,Quang Tri,2010-09-30,1,-1.0,"[0.1, 0.0, 0.2, 0.0, 0.1, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.2, 0.0, 0.0, 0.3, 0.3, 0.2, 0.2, 0.9, 2.6, 1.5, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.4, 0.1, 0.2, 1.8, 0.2, 0.4, 0.3, 0.3, 0.7, 0.6, 0.8, 1.7, 2.69, 0.7, 0.4, 0.3, 0.7, 0.7, 0.6, 0.5, 0.4, 0.9, 0.6, 2.1, 5.8, 1.7, 0.9, 0.7, 1.6, 0.5, 1.87, 0.3, 0.4, 0.5, 0.5, 1.57]"
