Year,Disaster Type,Disaster Subtype,Country,Location,Origin,Associated Dis,Dis Mag Value (Km2),River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations
1964,Flood,,Viet Nam,,,,,,1964,12,,1964,12,,400,,,,,,,10.59837602,
1966,Flood,Riverine flood,Viet Nam,Near Cambodia border,,,,,1966,9,20,1966,9,20,31,,125541,70361,195902,10000,90163,11.09099715,
1970,Flood,,Viet Nam,North,,,,,1970,10,26,1970,10,26,237,,204000,,204000,,,13.26647996,
1978,Flood,Riverine flood,Viet Nam,Mekong Delta,,,,,1978,8,,1978,8,,74,,4000000,79000,4079000,,,22.29019504,
1980,Flood,,Viet Nam,"Quang Nam Da Nang, Nghia Binh, Binh Tri Thien, Phu Khanh provinces",,,,,1980,11,,1980,11,,94,,628000,,628000,,,28.15888663,
1984,Flood,,Viet Nam,Central,,,,,1984,10,,1984,10,,33,,38000,,38000,,,35.49688113,
1985,Flood,Riverine flood,Viet Nam,"Ha Nam Ninh, Thanh Hoa, Hai Hung, Ha Bac",,,24680,,1985,9,7,1985,9,7,93,,2800000,,2800000,,,36.75546794,
1986,Flood,Riverine flood,Viet Nam,Central,,,,,1986,12,3,1986,12,3,165,,,,,,,37.45311166,
1990,Flood,Riverine flood,Viet Nam,"Son La, Hoang Lien Son, Ha Tuyen, Binh Dinh, Dac Lac, Lai Chau, Muong Lay provinces",Heavy rain,,13950,,1990,6,20,1990,7,8,82,200,10000,,10200,725,1624,44.64587744,
1991,Flood,Riverine flood,Viet Nam,"Son La, Lai Chau provinces",Monsoonal rain,Broken Dam/Burst bank,30960,,1991,7,28,1991,7,31,38,14,4000,,4014,3200,6876,46.53662061,
1991,Flood,Riverine flood,Viet Nam,"An Giang, Long An, Dong Thap, Kien Giang provinces",,,1000,,1991,8,,1991,8,,21,,270000,600,270600,5000,10744,46.53662061,
1991,Flood,Riverine flood,Viet Nam,"An Giang, Dong Thap, Long An, Tien Giang, Kien Giang provinces (Mekong Delta)",Heavy rain,,,Mekong river,1991,9,19,1991,9,25,136,,21000,,21000,38500,82731,46.53662061,
1992,Flood,Coastal flood,Viet Nam,"Quang Binh, Quang Tri provinces",Tropical cyclone,,,,1992,10,28,1992,10,31,1,,58000,,58000,,,47.94612964,
1992,Flood,Riverine flood,Viet Nam,"Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien-Hue, Quang Nam-Da Nang provinces",Heavy rain,,569,,1992,10,5,1992,10,9,55,10,44109,7579,51698,47700,99487,47.94612964,
1993,Flood,Flash flood,Viet Nam,"Phu Yen, Lam Dong, Quang Tri, Da Nang, Khanh Hoa, Binh Dinh, Darlac and Binh Thuan provinces",Brief torrential rain,,29440,"Phan Thiet, Muong Man River",1993,10,2,1993,10,12,64,,15000,,15000,10000,20259,49.36133216,
1994,Flood,Riverine flood,Viet Nam,"Dong Thap, An Giang, Long An, Tien Giang, Kien Giang, Can Tho, Nghe An, Thanh Hoa provinces",Monsoonal rain,,65260,Mekong,1994,9,4,1994,12,18,310,,382000,,382000,206000,406726,50.64840266,
1995,Flood,Riverine flood,Viet Nam,"Quang Binh, Quang Tri, Kegalle, Da Nang, Dong Thap, Dong Thap, Kien Gang, An Giang, Tien Giang, Vinh Long, Can Tho provinces",Heavy rain,,123000,"Mekong, Perfume",1995,9,21,1995,10,19,253,,400000,,400000,86000,165165,52.06929869,
1996,Flood,Riverine flood,Viet Nam,"An Giang, Dong Thap, Tay Minh, Long An, Tien Giang, Kien Giang, Can Tho, Vinh Long provinces",Heavy rain,,22610,Mekong,1996,10,1,1996,11,13,162,,375000,,375000,138000,257484,53.59556085,
1996,Flood,,Viet Nam,"Thua Thien-Hue, Quang Nam-Da Nang, Quang Tri, Quang Ngai, Binh Dinh, Kon Tum",,,,,1996,9,14,1996,9,19,60,,,,,13400,25002,53.59556085,
1998,Flood,Riverine flood,Viet Nam,"Khan Hoa, Binh Dinh, Quang Ngai, Phu Yen, Ninh Thuan",Heavy rain,,110,,1998,10,16,1998,10,23,45,5,31030,1470,32505,13700,24596,55.69986281,
1999,Flood,Flash flood,Viet Nam,"Binh Thuan, Lam Dong, Dac Lac and Dong Nai",Brief torrential rain,"Slide (land, mud, snow, rock)",500,,1999,7,24,1999,8,5,40,,106885,8290,115175,19500,34259,56.91858704,
1999,Flood,Coastal flood,Viet Nam,"Da Nang, Quang Nam, Thanh Hoa, Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien Hue, Quang Ngai, Binh Dinh",Tropical cyclone,,947,,1999,10,25,1999,11,9,622,412,3414000,90000,3504412,237000,416384,56.91858704,
1999,Flood,Riverine flood,Viet Nam,"Thua Thien Hue, Khanh Hoa, Phu Yen, Binh Dinh, Quang Ngai, Quang Nam, Danang and Khanh Hoa.",Heavy rain,,288,Thu Hong,1999,12,2,1999,12,10,127,164,2118265,45265,2163694,53000,93115,56.91858704,
2000,Flood,Riverine flood,Viet Nam,"Long An, Dong Thap, An Giang, Kien Giang, Can Tho city, Vinh Long, Tien Giang provinces",,,1400,,2000,7,,2000,11,,460,4,5000000,,5000004,250000,424876,58.84064849,"An Giang, Can Tho city, Dong Thap, Kien Giang, Long An, Tien Giang, Vinh Long (Adm1)."
2000,Flood,Riverine flood,Viet Nam,"Quang Nam, Khanh Hoa, Phu Yen, Ninh Thuan, Binh Thuan, Quang Ngai, Binh Dinh, Quang Tri, Thua Thien-Hue provinces",,,49140,,2000,11,18,2000,11,26,36,3,25000,,25003,15000,25493,58.84064849,"Binh Dinh, Binh Thuan, Khanh Hoa, Ninh Thuan, Phu Yen, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1)."
