"city_name","elevation","latitude","longitude"
"Lang Son","265","21.8478","106.7578"
"Bien Hoa","39","10.9277","106.8681"
"Thanh Hoa","11","19.8075","105.7764"
"Tuyen Quang","43","21.8281","105.2156"
"My Tho","3","10.35","106.35"
"Hoi An","14","15.8777","108.3327"
"Hoa Binh","28","20.8175","105.3375"
"Cao Bang","188","22.6731","106.25"
"Long Xuyen","4","10.3686","105.4234"
"Bac Giang","14","21.2731","106.1947"
"Yen Bai","30","21.7","104.8667"
"Vung Tau","8","10.4042","107.1417"
"Phan Rang-Thap Cham","11","11.5643","108.9886"
"Hue","10","16.4637","107.5908"
"Son Tay","28","21.1382","105.505"
"Hai Duong","4","20.9399","106.3309"
"Dong Ha","26","16.8056","107.09"
"Rach Gia","7","10.0125","105.0808"
"Tan An","2","10.5322","106.4042"
"Ha Long","9","20.9514","107.0852"
"Chau Doc","3","10.7","105.1167"
"Ha Tien","13","10.3833","104.4833"
"Tra Vinh","12","9.9369","106.3411"
"Da Nang","0","16.06","108.25"
"Phu Quoc","6","10.2289","103.9572"
"Mang La","520","14.3838","107.9833"
"Haiphong","3","20.8","106.6667"
"Tuy Hoa","9","13.0869","109.3086"
"Phan Thiet","47","10.9375","108.1583"
"Ho Chi Minh City","6","10.8167","106.6333"
"Pleiku","762","13.9715","108.0147"
"Ap Da Loi","1475","11.9304","108.42"
"Soc Trang","15","9.6","105.9719"
"Quang Ngai","16","15.1206","108.7922"
"Dong Hoi","10","17.4833","106.6"
"Ninh Binh","6","20.2539","105.975"
"Thu Dau Mot","11","11.0042","106.6583"
"Di An","30","10.9039","106.7679"
"Ha Giang","104","22.8233","104.9836"
"Quang Tri","5","16.7504","107.2"
"Cam Pha","17","21.0094","107.2728"
"Bac Kan","135","22.1514","105.8377"
"Nha Trang","10","12.2495","109.1908"
"Can Tho","3","10.0333","105.7833"
"Ca Mau","5","9.1833","105.15"
"Hanoi","9","21.0245","105.8412"
"Vinh Long","2","10.255","105.9753"
"Bac Ninh","9","21.1861","106.0763"
"Ben Tre","9","10.2333","106.3833"
"Thai Nguyen","27","21.6","105.85"
"Nam Dinh","8","20.42","106.1683"
"Bac Lieu","3","9.2833","105.7167"
"Cam Ranh","35","11.902","109.2207"
"Lao Cai","226","22.4194","103.995"
"Buon Ma Thuot","473","12.6667","108.05"
"Tay Ninh","21","11.3131","106.0963"
"Son La","602","21.327","103.9141"
"Binh Long","97","11.6504","106.6"
"Vi Thanh","0","9.7833","105.4708"
"Cao Lanh","4","10.4603","105.6331"
"Thu Duc","2","10.8199","106.7909"
"Quy Nhon","9","13.7696","109.2314"
"Vinh","12","18.6733","105.6922"
"Ha Tinh","5","18.3431","105.9058"
"Viet Tri","30","21.3136","105.3947"
"Sa Dec","5","10.3105","105.7397"
"Thai Binh","4","20.4461","106.3422"
