,Start Year,Start Month,Start Day,End Year,End Month,End Day,Location,Total Affected,start_date,end_date
0,1964,12,,1964,12,,,,1964-12-01,1964-12-30
1,1966,9,20.0,1966,9,20.0,Near Cambodia border,195902.0,1966-09-20,1966-09-20
2,1970,10,26.0,1970,10,26.0,North,204000.0,1970-10-26,1970-10-26
3,1978,8,,1978,8,,Mekong Delta,4079000.0,1978-08-01,1978-08-30
4,1980,11,,1980,11,,Quang Nam Da Nang,628000.0,1980-11-01,1980-11-30
5,1980,11,,1980,11,,Nghia Binh,38000.0,1980-11-01,1980-11-30
6,1980,11,,1980,11,,Binh Tri Thien,2800000.0,1980-11-01,1980-11-30
7,1980,11,,1980,11,,Phu Khanh provinces,,1980-11-01,1980-11-30
8,1990,6,20.0,1990,7,8.0,Son La,10200.0,1990-06-20,1990-07-08
9,1990,6,20.0,1990,7,8.0,Hoang Lien Son,4014.0,1990-06-20,1990-07-08
10,1990,6,20.0,1990,7,8.0,Ha Tuyen,270600.0,1990-06-20,1990-07-08
11,1990,6,20.0,1990,7,8.0,Binh Dinh,21000.0,1990-06-20,1990-07-08
12,1990,6,20.0,1990,7,8.0,Dac Lac,58000.0,1990-06-20,1990-07-08
13,1990,6,20.0,1990,7,8.0,Lai Chau,51698.0,1990-06-20,1990-07-08
14,1990,6,20.0,1990,7,8.0,Muong Lay provinces,15000.0,1990-06-20,1990-07-08
15,1994,9,4.0,1994,12,18.0,Dong Thap,382000.0,1994-09-04,1994-12-18
16,1994,9,4.0,1994,12,18.0,An Giang,400000.0,1994-09-04,1994-12-18
17,1994,9,4.0,1994,12,18.0,Long An,375000.0,1994-09-04,1994-12-18
18,1994,9,4.0,1994,12,18.0,Tien Giang,,1994-09-04,1994-12-18
19,1994,9,4.0,1994,12,18.0,Kien Giang,32505.0,1994-09-04,1994-12-18
20,1994,9,4.0,1994,12,18.0,Can Tho,115175.0,1994-09-04,1994-12-18
21,1994,9,4.0,1994,12,18.0,Nghe An,3504412.0,1994-09-04,1994-12-18
22,1994,9,4.0,1994,12,18.0,Thanh Hoa provinces,2163694.0,1994-09-04,1994-12-18
23,2000,7,,2000,11,,Long An,5000004.0,2000-07-01,2000-11-30
24,2000,7,,2000,11,,Dong Thap,25003.0,2000-07-01,2000-11-30
25,2000,7,,2000,11,,An Giang,3000.0,2000-07-01,2000-11-30
26,2000,7,,2000,11,,Kien Giang,35006.0,2000-07-01,2000-11-30
27,2000,7,,2000,11,,Can Tho city,1570270.0,2000-07-01,2000-11-30
28,2000,7,,2000,11,,Vinh Long,175.0,2000-07-01,2000-11-30
29,2000,7,,2000,11,,Tien Giang provinces,2000.0,2000-07-01,2000-11-30
30,2002,9,,2002,9,,Long An,1138200.0,2002-09-01,2002-09-30
31,2002,9,,2002,9,,Dong Thap,291616.0,2002-09-01,2002-09-30
32,2002,9,,2002,9,,An Giang provinces,194049.0,2002-09-01,2002-09-30
33,2003,10,15.0,2003,10,22.0,Quang Ngai,221774.0,2003-10-15,2003-10-22
34,2003,10,15.0,2003,10,22.0,Quang Nam,1000.0,2003-10-15,2003-10-22
35,2003,10,15.0,2003,10,22.0,Binh Dinh,18.0,2003-10-15,2003-10-22
36,2003,10,15.0,2003,10,22.0,Quang Tri,30000.0,2003-10-15,2003-10-22
37,2003,10,15.0,2003,10,22.0,Phu Yen,5000.0,2003-10-15,2003-10-22
