Start Year,Start Month,Start Day,Location,Total Affected,date
2007,8,5.0,Dak Lak,416130.0,2007-08-05
2007,8,5.0,Lam Dong,416130.0,2007-08-05
2007,8,5.0,Ha Tinh,416130.0,2007-08-05
2007,10,28.0,Thua Thien-Hue,94042.0,2007-10-28
2007,10,28.0,Quang Ngai,94042.0,2007-10-28
2007,10,28.0,Quang Nam,94042.0,2007-10-28
2007,10,28.0,Quan Binh,94042.0,2007-10-28
2008,10,27.0,Thai Nguyen,600000.0,2008-10-27
2008,10,27.0,Vinh Phuc,600000.0,2008-10-27
2008,10,27.0,Hoa Binh,600000.0,2008-10-27
2008,10,27.0,Ninh Binh,600000.0,2008-10-27
2008,10,27.0,Thanh Hoa,600000.0,2008-10-27
2008,10,27.0,Nghe An,600000.0,2008-10-27
2008,10,27.0,Ha Tinh,600000.0,2008-10-27
2008,10,27.0,Quang Binh,600000.0,2008-10-27
2008,10,27.0,Ha Nam,600000.0,2008-10-27
2008,10,27.0,HaNoi,600000.0,2008-10-27
2011,9,,An Giang,600000.0,2011-09-01
2011,9,,Dong Thap,600000.0,2011-09-01
2011,9,,Long An,600000.0,2011-09-01
2011,9,,Can Tho,600000.0,2011-09-01
2011,9,,Vinh Long,600000.0,2011-09-01
2011,9,,Hau Giang,600000.0,2011-09-01
2011,9,,Kien Giang,600000.0,2011-09-01
2013,9,16.0,Dak Lak,25000.0,2013-09-16
2013,9,16.0,Quang Tri,25000.0,2013-09-16
2013,9,16.0,Quang Ngai,25000.0,2013-09-16
2013,9,16.0,Quang Nam,25000.0,2013-09-16
2013,9,16.0,Kon Tum,25000.0,2013-09-16
2016,10,9.0,Quang Binh (Minh Hoa,659615.0,2016-10-09
2016,10,9.0,Tuyen Hoa),659615.0,2016-10-09
2016,10,9.0,Ha Tinh (Huong Khe),659615.0,2016-10-09
2016,10,9.0,Nghe An,659615.0,2016-10-09
2016,10,9.0,Quang Tri (Vinh Linh,659615.0,2016-10-09
2016,10,9.0,Hai Lang,659615.0,2016-10-09
2016,10,9.0,Trieu Phong),659615.0,2016-10-09
2016,10,9.0,Thua Thien Hue,659615.0,2016-10-09
2018,6,23.0,Lai Chau,16728.0,2018-06-23
2018,12,8.0,Thanh Hoa,105000.0,2018-12-08
2018,12,8.0,Binh Dinh,105000.0,2018-12-08
2018,12,8.0,Nghe An,105000.0,2018-12-08
2018,12,8.0,Quang Tri,105000.0,2018-12-08
2018,12,8.0,Quang Ngai,105000.0,2018-12-08
2018,12,8.0,Quang Nam,105000.0,2018-12-08
2018,12,8.0,Da Nang,105000.0,2018-12-08
2021,9,23.0,Northern and central regions,13603.0,2021-09-23
2021,11,27.0,Quang Nam,300000.0,2021-11-27
2021,11,27.0,Quang Ngai,300000.0,2021-11-27
2021,11,27.0,Binh Dinh,300000.0,2021-11-27
2021,11,27.0,Dak Lak,300000.0,2021-11-27
2021,11,27.0,Kon Tum,300000.0,2021-11-27
2021,11,27.0,Phu Yen,300000.0,2021-11-27
2022,8,14.0,Dak Lak,,2022-08-14
