Start Year,Start Month,Start Day,Location,Total Affected,date
1964,12,,,,1964-12-01
1966,9,20.0,Near Cambodia border,195902.0,1966-09-20
1970,10,26.0,North,204000.0,1970-10-26
1978,8,,Mekong Delta,4079000.0,1978-08-01
1980,11,,Quang Nam Da Nang,628000.0,1980-11-01
1980,11,,Nghia Binh,628000.0,1980-11-01
1980,11,,Binh Tri Thien,628000.0,1980-11-01
1980,11,,Phu Khanh provinces,628000.0,1980-11-01
1990,6,20.0,Son La,10200.0,1990-06-20
1990,6,20.0,Hoang Lien Son,10200.0,1990-06-20
1990,6,20.0,Ha Tuyen,10200.0,1990-06-20
1990,6,20.0,Binh Dinh,10200.0,1990-06-20
1990,6,20.0,Dac Lac,10200.0,1990-06-20
1990,6,20.0,Lai Chau,10200.0,1990-06-20
1990,6,20.0,Muong Lay provinces,10200.0,1990-06-20
1994,9,4.0,Dong Thap,382000.0,1994-09-04
1994,9,4.0,An Giang,382000.0,1994-09-04
1994,9,4.0,Long An,382000.0,1994-09-04
1994,9,4.0,Tien Giang,382000.0,1994-09-04
1994,9,4.0,Kien Giang,382000.0,1994-09-04
1994,9,4.0,Can Tho,382000.0,1994-09-04
1994,9,4.0,Nghe An,382000.0,1994-09-04
1994,9,4.0,Thanh Hoa provinces,382000.0,1994-09-04
2000,7,,Long An,5000004.0,2000-07-01
2000,7,,Dong Thap,5000004.0,2000-07-01
2000,7,,An Giang,5000004.0,2000-07-01
2000,7,,Kien Giang,5000004.0,2000-07-01
2000,7,,Can Tho city,5000004.0,2000-07-01
2000,7,,Vinh Long,5000004.0,2000-07-01
2000,7,,Tien Giang provinces,5000004.0,2000-07-01
2002,9,,Long An,1138200.0,2002-09-01
2002,9,,Dong Thap,1138200.0,2002-09-01
2002,9,,An Giang provinces,1138200.0,2002-09-01
2003,10,15.0,Quang Ngai,221774.0,2003-10-15
2003,10,15.0,Quang Nam,221774.0,2003-10-15
2003,10,15.0,Binh Dinh,221774.0,2003-10-15
2003,10,15.0,Quang Tri,221774.0,2003-10-15
2003,10,15.0,Phu Yen,221774.0,2003-10-15
2003,10,15.0,Thua Thien Hue provinces,221774.0,2003-10-15
2005,5,26.0,Vinh Thuan district (Kien Giang province),593.0,2005-05-26
2005,10,20.0,Binh Dinh,33800.0,2005-10-20
2005,10,20.0,Quang Ngai,33800.0,2005-10-20
2005,10,20.0,Phu Yen,33800.0,2005-10-20
2005,10,20.0,Khanh Hoa,33800.0,2005-10-20
2005,10,20.0,Gia Lai,33800.0,2005-10-20
2005,10,20.0,Quang Tri provinces,33800.0,2005-10-20
2006,8,10.0,An Giang,,2006-08-10
2006,8,10.0,Dong Thap provinces,,2006-08-10
2007,8,5.0,Dak Lak,416130.0,2007-08-05
2007,8,5.0,Lam Dong,416130.0,2007-08-05
2007,8,5.0,Ha Tinh provinces,416130.0,2007-08-05
2007,10,28.0,Thua Thien-Hue,94042.0,2007-10-28
2007,10,28.0,Quang Ngai,94042.0,2007-10-28
2007,10,28.0,Quang Nam,94042.0,2007-10-28
2007,10,28.0,Quan Binh provinces,94042.0,2007-10-28
2008,10,27.0,Thai Nguyen,600000.0,2008-10-27
2008,10,27.0,Vinh Phuc,600000.0,2008-10-27
2008,10,27.0,Hoa Binh,600000.0,2008-10-27
2008,10,27.0,Ninh Binh,600000.0,2008-10-27
2008,10,27.0,Thanh Hoa,600000.0,2008-10-27
2008,10,27.0,Nghe An,600000.0,2008-10-27
2008,10,27.0,Ha Tinh,600000.0,2008-10-27
2008,10,27.0,Quang Binh,600000.0,2008-10-27
2008,10,27.0,Ha Nam,600000.0,2008-10-27
2008,10,27.0,Ha Noi City provinces,600000.0,2008-10-27
2011,9,,An Giang,600000.0,2011-09-01
2011,9,,Dong Thap,600000.0,2011-09-01
2011,9,,Long An,600000.0,2011-09-01
2011,9,,Can Tho city,600000.0,2011-09-01
2011,9,,Vinh Long,600000.0,2011-09-01
2011,9,,Hau Giang,600000.0,2011-09-01
2011,9,,Kien Giang provinces,600000.0,2011-09-01
2013,9,16.0,Dak Lak,25000.0,2013-09-16
2013,9,16.0,Quang Tri,25000.0,2013-09-16
2013,9,16.0,Quang Ngai,25000.0,2013-09-16
2013,9,16.0,Quang Nam,25000.0,2013-09-16
2013,9,16.0,Kon Tum provinces,25000.0,2013-09-16
2016,10,9.0,Quang Binh (Minh Hoa,659615.0,2016-10-09
2016,10,9.0,Tuyen Hoa),659615.0,2016-10-09
2016,10,9.0,Ha Tinh (Huong Khe),659615.0,2016-10-09
2016,10,9.0,Nghe An,659615.0,2016-10-09
2016,10,9.0,Quang Tri (Vinh Linh,659615.0,2016-10-09
2016,10,9.0,Hai Lang,659615.0,2016-10-09
2016,10,9.0,Trieu Phong),659615.0,2016-10-09
2016,10,9.0,Thua Thien Hue provinces,659615.0,2016-10-09
2018,6,23.0,Lai Chau,16728.0,2018-06-23
2018,8,29.0,Northern provinces,6000.0,2018-08-29
2018,12,8.0,Thanh Hoa,105000.0,2018-12-08
2018,12,8.0,Binh Dinh,105000.0,2018-12-08
2018,12,8.0,Nghe An,105000.0,2018-12-08
2018,12,8.0,Quang Tri,105000.0,2018-12-08
2018,12,8.0,Quang Ngai,105000.0,2018-12-08
2018,12,8.0,Quang Nam,105000.0,2018-12-08
2018,12,8.0,Da Nang,105000.0,2018-12-08
2021,9,23.0,Northern and central regions,13603.0,2021-09-23
2021,11,27.0,Quang Nam,300000.0,2021-11-27
2021,11,27.0,Quang Ngai,300000.0,2021-11-27
2021,11,27.0,Binh Dinh,300000.0,2021-11-27
2021,11,27.0,Dak Lak,300000.0,2021-11-27
2021,11,27.0,Kon Tum,300000.0,2021-11-27
2021,11,27.0,Phu Yen Provinces,300000.0,2021-11-27
2022,8,14.0,Dak Lak,,2022-08-14
