"id","city_name","date","humidity","latitude","longitude","precip","temp","tide","wind"
"6f0db638-1e5e-42c0-bdf1-a7fc247aeaea","Bac Ninh","2021-04-24 06:00","89","21.1861","106.0763","0.04","25.7","'-0.79","16.9"
"4a251f3c-95fe-44d8-b7e6-f8d34d1b3b6a","Quang Tri","2017-12-28 15:00","96","16.7504","107.2","0.26","20.7","0.01","12.6"
"cffe920b-b86f-49c9-8c19-5f9349b1c5be","Ho Chi Minh City","2017-11-15 00:00","89","10.8167","106.6333","0.0","25.7","'-0.68","6.5"
"b74f1058-b935-4136-b82c-5065bd9eecd1","Dong Hoi","2020-03-27 11:00","72","17.4833","106.6","0.0","27.6","0.01","12.4"
"ad8d60b7-02df-48fc-a484-e4f61a4c989e","Viet Tri","2017-07-20 02:00","96","21.3136","105.3947","0.23","24.3","0.38","6.6"
"db073ac0-f95d-41cd-9205-0aa1702f6550","Nha Trang","2017-06-01 18:00","88","12.2495","109.1908","1.2","26.7","'-0.33","14.0"
"d2375a47-222d-4aae-b2cf-2ff3cf5274d9","Pleiku","2018-12-20 20:00","93","13.9715","108.0147","0.0","20.0","'-0.49","6.8"
"ac223ce0-f3c8-49b6-ac9e-fba1c9791ed1","Tra Vinh","2021-08-19 15:00","63","9.9369","106.3411","0.36","31.1","0.04","9.7"
"9a4f6393-3c2e-4e4f-ba20-b945eb681572","Cam Ranh","2019-05-11 16:00","85","11.902","109.2207","1.31","28.2","'-0.64","11.4"
"51546937-9888-4e1c-8f91-c5a0a9c00682","Vinh Long","2018-08-21 03:00","93","10.255","105.9753","0.0","25.0","0.57","7.9"
"32e4fad5-7826-49ce-bb58-2d6872c1c571","Sa Dec","2017-01-18 02:00","78","10.3105","105.7397","0.0","23.7","'-0.63","10.2"
"a2e76e6b-2844-4c09-9a8d-bf361ed844a3","Cam Ranh","2017-07-22 21:00","87","11.902","109.2207","0.13","26.1","0.26","13.7"
"fb25a038-0e69-43c5-b3a3-c1a45d1e998e","Ca Mau","2019-03-12 19:00","64","9.1833","105.15","0.0","29.3","'-0.54","9.4"
"ff91fa69-ba2b-45fe-8ffa-ce6f760d31b9","Bac Giang","2020-05-04 05:00","91","21.2731","106.1947","0.0","25.4","'-0.7","9.7"
"57d12342-6507-4a76-a9f7-2a1cb4788711","Chau Doc","2021-10-14 01:00","87","10.7","105.1167","0.0","25.6","0.55","14.8"
"10181089-0c1d-485e-aa7c-3f120e00a439","Mang La","2022-08-26 08:00","96","14.3838","107.9833","0.03","21.7","'-0.56","11.5"
"2a3434ee-e90e-468b-9f40-04a28c442c2f","Ha Tien","2020-12-31 09:00","64","10.3833","104.4833","0.0","23.0","0.91","28.8"
"4fd64582-1722-49dd-ad5b-c6630fde5d4e","Quang Ha","2016-08-25 21:00","85","16.06","108.25","2.53","25.3","0.3","2.2"
"55b56d6d-5761-4177-be93-b39cd995a5ba","Tra Vinh","2015-01-20 19:00","78","9.9369","106.3411","0","23.5","1.26","10.3"
"ae781660-d857-4550-b1cc-90ae703f5132","Tuyen Quang","2017-06-14 19:00","83","21.8281","105.2156","0.76","28.1","'-0.16","8.4"
"7318e80a-47df-43bb-8890-27f0dc9bb120","Vung Tau","2016-01-21 05:00","78","10.4042","107.1417","0","26.2","0.69","31.1"
"cbbee6b1-c8aa-4343-ae33-6d79e61c01a9","Vung Tau","2019-06-02 15:00","66","10.4042","107.1417","0.0","31.4","'-0.79","18.0"
"241408b3-518f-4820-9afa-ebce357e5b32","Ap Da Loi","2015-04-30 06:00","91","11.9304","108.42","0","20.9","'-0.02","1.4"
"6a57ad61-4cda-4160-b6b3-c9d20bd34830","Long Xuyen","2022-07-18 18:00","83","10.3686","105.4234","0.13","27.6","'-1.28","18.4"
"e1c1de94-14c3-43f4-82a4-5e5b3c44488a","Ap Da Loi","2020-03-01 08:00","63","11.9304","108.42","0.0","22.3","0.25","3.5"
"32a45140-7738-4361-b956-a604c6f4e5d4","Cam Pha","2016-09-07 15:00","78","21.0094","107.2728","0.13","28.9","'-0.32","9.4"
"97c37df4-03b9-47c3-b1c4-b19e2c8f1698","Bac Kan","2018-08-16 23:00","98","22.1514","105.8377","1.23","24.4","'-0.04","5.8"
"d6ab4851-53be-4bf5-8137-5652c8bf36fb","Lang Son","2017-05-14 06:00","78","21.8478","106.7578","0.0","24.9","0.22","3.6"
"6da28f01-fc61-4349-80de-dc211423d1cc","Ha Giang","2022-02-28 15:00","39","22.8233","104.9836","0.0","24.6","0.59","20.5"
"cd7cbd27-9137-4374-bb16-e866796e843f","Cam Ranh","2016-01-03 17:00","90","11.9136","109.1369","0.09","24.7","'-0.04","18.2"
"a6d691b5-f6f2-4145-8e7d-1737b1b787d5","Cao Bang","2022-03-05 14:00","84","22.6731","106.25","0.0","21.1","'-0.65","5.5"
"0be81d5a-8e6a-4064-9bc6-77ca820d6f7a","Tra Vinh","2019-06-22 23:00","93","9.9369","106.3411","0.3","26.2","0.77","7.8"
"aa9990e5-8b80-4b68-a2e6-66f2feb26890","Binh Long","2015-07-07 07:00","76","11.6504","106.6","0","28.7","0.26","20.3"
"5e2ba4ba-e98d-47e2-aa7f-9f9827fda227","Long Xuyen","2017-05-01 13:00","52","10.3686","105.4234","0.0","34.2","'-0.35","6.7"
"dd50a278-34eb-4e2d-a152-51e3aeda8661","My Tho","2022-08-29 00:00","91","10.35","106.35","0.0","25.0","0.02","6.5"
"8b9a4419-e8e3-4c13-ad25-2b91324aabe0","Soc Trang","2021-02-14 05:00","85","9.6","105.9719","0.0","21.9","'-0.9","9.8"
"8fe638c7-2d44-4564-a51d-cb01274a3479","Thu Dau Mot","2018-12-05 03:00","76","11.0042","106.6583","0.0","27.2","'-0.04","7.6"
"5a38baf1-c03a-4dba-83e3-af50632ac700","Cao Bang","2018-03-23 21:00","68","22.6731","106.25","0.04","17.2","'-0.34","5.0"
"9ecb9c34-28b5-421e-bf7b-3a52330443f1","Hoi An","2020-11-18 04:00","87","15.8777","108.3327","0.0","22.5","'-0.05","8.2"
"d42db360-8e3b-41cb-a679-2278417856dc","Tra Vinh","2015-09-21 08:00","73","9.9369","106.3411","0","29.4","'-0.83","7"
"cf387464-75fd-4e0f-a7aa-594b5c5578d8","Soc Trang","2021-03-28 19:00","74","9.6","105.9719","0.0","30.1","1.28","16.1"
"68d2da58-5c3b-4114-a7a4-848cdfebd506","Quang Ha","2022-02-21 13:00","82","16.06","108.25","0.0","19.1","'-0.18","13.1"
"b20b6f15-0683-4491-b32e-8c8b7446912c","Tuy Hoa","2022-04-21 09:00","75","13.0869","109.3086","0.0","27.2","'-0.04","10.1"
"f73d3311-4541-42ed-8218-3d36aae5a811","Ha Long","2019-04-06 02:00","83","20.9514","107.0852","0.0","22.7","0.14","4.9"
"259dec5b-8c84-4214-8422-a636079f9138","Tuyen Quang","2021-01-04 06:00","62","21.8281","105.2156","0.0","15.4","0.36","5.4"
"0217b749-b149-4bab-ad46-cf4d2c98ef7e","Phan Thiet","2015-05-21 03:00","79","10.9375","108.1583","0","26.6","'-0.01","9"
"f7354bec-9d33-4b7d-99b7-56a6b80defdd","My Tho","2018-01-08 10:00","59","10.35","106.35","0.0","31.2","0.45","14.8"
"54552f74-8a18-4fd4-ad71-dd4cc3976576","Sa Dec","2020-10-05 08:00","75","10.3105","105.7397","0.0","27.7","0.79","9.8"
"9e614f23-721c-4171-a7c5-adef091ba962","Tan An","2018-03-29 16:00","51","10.5322","106.4042","0.0","31.0","0.99","13.3"
"0e059f30-305d-4e35-98c7-02b2cc7136c3","Vi Thanh","2015-06-27 00:00","85","9.7833","105.4708","0","26.5","0.46","7.6"
"8d769566-3fa6-44b0-b633-9964ad734800","Mang La","2019-10-26 00:00","97","14.3838","107.9833","0.0","18.6","0.35","7.9"
"8fd462ae-dcde-4f45-9454-0d2fe1ea7fcf","Dong Hoi","2015-10-25 14:00","72","17.4833","106.6","0","26.9","0.31","8"
"090d0df0-4643-4fae-8feb-bb84a2546f8f","Rach Gia","2018-12-20 15:00","67","10.0125","105.0808","0.04","31.2","0.9","11.2"
"474c4e6b-5eb0-4ed4-9992-def54bba23e2","Ha Giang","2015-02-25 17:00","53","22.8233","104.9836","0","19.1","0.43","8.3"
"c4336953-d66a-4763-a9fc-31b64a6807e6","My Tho","2021-01-03 18:00","77","10.35","106.35","0.0","29.0","0.56","4.0"
"79cd4f10-2f01-4baa-996a-0277eb8bbd42","Dong Ha","2017-09-08 18:00","73","16.8056","107.0906","0.0","28.5","0.21","10.8"
"b7cd1f49-2d4c-40cb-9f8d-74d7e8d50d64","Tra Vinh","2017-09-12 06:00","84","9.9369","106.3411","0.0","26.9","'-1.05","6.1"
"20d896fb-c587-4904-8f3a-cb5f9c62937b","Tuyen Quang","2016-11-22 22:00","87","21.8281","105.2156","0.0","24.4","0.21","6.5"
"5827f608-32a0-4f9a-b148-03a3b6e3bcb6","Bac Kan","2016-11-03 05:00","84","22.1514","105.8377","0.0","12.5","'-0.03","6.8"
"c9ec50c0-bee1-4d20-bd0d-5bc27e376bfa","Bien Hoa","2020-01-23 16:00","37","10.9277","106.8681","0.0","34.5","1.08","8.5"
"5e589bd4-ffaf-4d09-8c7b-e22d8e9ec2d0","Viet Tri","2020-03-16 13:00","72","21.3136","105.3947","0.0","24.5","0.98","9.8"
"a82705a5-872d-4111-93fc-a993d281fca4","Ha Giang","2018-06-30 17:00","82","22.8233","104.9836","0.83","23.3","'-0.01","8.6"
"62211671-ac6f-4435-a240-e380db048c67","Vinh","2017-11-13 02:00","90","18.6733","105.6922","0.03","23.1","0.71","5.9"
"2b29ab83-d46b-417b-8a85-de84148239d5","Viet Tri","2016-11-03 13:00","54","21.3136","105.3947","0.0","24.2","'-0.92","3.7"
"b083efe1-458d-4b6a-9d6b-6e12f8ed3de4","Nha Trang","2021-03-29 01:00","89","12.2495","109.1908","0.0","22.1","'-0.08","6.8"
"d648bca0-a28e-461b-84f4-a8a31167854b","Cam Ranh","2019-03-25 18:00","86","11.9136","109.1369","0.13","25.4","0.03","24.1"
"212dc6ca-fa74-4b8a-8623-b3735502d666","Hanoi","2021-12-29 17:00","60","21.0245","105.8412","0.0","18.4","0.32","10.6"
"59bcb5e8-cff3-415e-8950-7ab84ec07595","Binh Long","2021-01-02 12:00","58","11.6504","106.6","0.0","27.2","0.72","7.9"
"e988d200-43e2-4e7e-b64e-9fc2f986aa7e","Bac Kan","2019-11-28 17:00","76","22.1514","105.8377","0.0","17.0","0.39","4.2"
"f6902ede-9e3a-4d85-bb0b-7cf54bc1c48d","Lao Cai","2015-04-08 01:00","91","22.4194","103.995","0.62","21.1","'-0.56","6.2"
"d808d4da-e145-4d68-a40e-31ae95dccbf5","Hue","2020-01-30 07:00","91","16.4637","107.5908","0.6","18.1","0.17","9.2"
"71f75f88-2c88-43d4-86a2-d65edc27ddb6","Quang Tri","2018-05-29 16:00","67","16.7504","107.2","0.0","30.6","0.12","13.6"
"ab63b8da-6145-4e1b-bc64-b6c4b9baac17","Phan Thiet","2018-09-13 04:00","85","10.9375","108.1583","0.0","25.0","'-0.95","13.1"
"429cd7f2-fba4-4408-8afb-4aba7259343d","Tra Vinh","2019-08-17 02:00","91","9.9369","106.3411","0.03","26.2","'-0.18","8.2"
"8f9c078c-b014-4d8d-9266-9986bd04b2f7","Tay Ninh","2017-06-26 03:00","85","11.3131","106.0963","0.0","25.3","0.0","7.9"
"ba6d3f20-dc7a-4b93-852a-7fbf7fb8a6f6","My Tho","2019-08-05 05:00","89","10.35","106.35","0.0","25.4","'-0.25","10.9"
"aaf0a869-206e-42cc-8182-802cde196d8d","Ha Giang","2016-10-28 09:00","66","22.8233","104.9836","0.0","24.0","0.18","5.0"
"1ca7560f-d479-4ba7-83c4-c72dc235139a","Phan Rang-Thap Cham","2015-01-14 08:00","74","11.5643","108.9886","0","22.6","0.25","31.2"
"32b0c849-1479-4caa-ba89-01813372a76e","Ben Tre","2019-12-19 13:00","52","10.2333","106.3833","0.0","31.6","0.95","12.2"
"23d98394-2a29-4d28-bec8-a7774b386057","Son La","2019-06-03 00:00","93","21.327","103.9141","0.4","22.4","'-0.61","2.5"
"04e395c6-527c-4222-8734-a780945a2851","Tan An","2015-05-31 01:00","76","10.5322","106.4042","0","28.6","0","9.7"
"01358265-cf89-4f29-8322-110bede5724f","Quang Tri","2019-05-20 10:00","48","16.7504","107.2","0.04","37.5","'-0.47","7.9"
"538f9aaf-bb4f-40b5-bccd-8baebc40495a","Hoa Binh","2016-08-16 21:00","89","20.8175","105.3375","0.22","26.2","'-1.13","4.3"
"6b7060b8-4589-49b2-a82b-91045098c760","Rach Gia","2015-04-23 10:00","58","10.0125","105.0808","0","32.4","0.87","24"
"e225f45e-f7b9-4f72-b8d6-0c8dc9fc5def","Ben Tre","2018-09-17 20:00","94","10.2333","106.3833","0.93","25.1","0.44","10.0"
"1e14630a-4359-4c8c-9c6d-7ba03aa478a8","Phan Rang-Thap Cham","2015-02-18 16:00","82","11.5643","108.9886","0","24.8","0.43","20.3"
"59d142a9-8c18-409a-b994-cb1d295f95dc","Tra Vinh","2017-03-23 04:00","82","9.9369","106.3411","0.0","25.6","0.6","15.4"
